Radius,Length,Shield,ReflectionFT,TransmissionFT,ReflectionFF,TransmissionFF,ReflectionGT,TransmissionGT,ReflectionGF,TransmissionGF,ReflectionCT,TransmissionCT,ReflectionCF,TransmissionCF
29,36,44,0.139221,0.425529,0.120497,0.423237,0.18978,0.480296,0.055113,0.366465,0.167630,0.479509,0.051100,0.369375
41,91,63,0.165289,0.243827,0.192585,0.28564,0.287433,0.344022,0.104332,0.233379,0.219326,0.312380,0.081297,0.220486
3,106,24,0.109648,0.000877,0.043616,0.001129,0.090093,0.000941,0.017106,0.001078,0.096021,0.000980,0.016738,0.000989
46,142,74,0.172234,0.157008,0.225308,0.209037,0.335952,0.266735,0.136262,0.175718,0.236277,0.220133,0.091753,0.149330
18,462,22,0.162576,0.001692,0.077067,0.002156,0.151774,0.001726,0.029091,0.001967,0.169257,0.001985,0.028816,0.001909
7,238,11,0.140582,0.000953,0.054145,0.001153,0.113404,0.000962,0.019407,0.001067,0.131092,0.001050,0.019163,0.001046
27,287,42,0.171169,0.012839,0.166946,0.017882,0.282974,0.022863,0.083588,0.016379,0.231163,0.021330,0.075455,0.015370
21,322,55,0.167902,0.005524,0.178432,0.008584,0.305838,0.011553,0.111364,0.009404,0.222130,0.008118,0.073534,0.006710
44,207,51,0.174826,0.076835,0.132482,0.078057,0.229741,0.100485,0.05661,0.063972,0.224733,0.114012,0.056885,0.066932
12,204,30,0.157365,0.004339,0.118968,0.005973,0.219923,0.006237,0.057275,0.005658,0.192665,0.006082,0.052206,0.005199
28,270,36,0.171524,0.016216,0.129359,0.019438,0.229207,0.022116,0.055501,0.017068,0.221048,0.025976,0.056174,0.017392
44,14,72,0.059852,0.788771,0.040124,0.768551,0.064118,0.794529,0.017416,0.74605,0.062755,0.801365,0.015960,0.747254
40,271,53,0.174994,0.036165,0.178385,0.046629,0.293577,0.064363,0.088075,0.039943,0.242154,0.061077,0.081376,0.039242
38,445,47,0.174629,0.010277,0.148323,0.01318,0.254005,0.014451,0.066399,0.011614,0.234047,0.016331,0.066525,0.011772
42,491,74,0.175521,0.01032,0.237434,0.017285,0.375733,0.027866,0.158294,0.019623,0.246499,0.017003,0.094935,0.012916
23,38,25,0.132224,0.31818,0.044964,0.260345,0.094223,0.296196,0.016338,0.2395,0.106671,0.328143,0.015191,0.243514
1,499,19,0.061772,0.000003,0.015919,0.000007,0.035327,0.000003,0.005434,0.000007,0.038128,0.000003,0.005349,0.000007
9,183,44,0.150106,0.002814,0.106345,0.004159,0.200662,0.004237,0.05586,0.004261,0.174376,0.003712,0.044278,0.003435
2,334,32,0.091837,0.000027,0.03061,0.000046,0.065239,0.000028,0.011581,0.000042,0.070547,0.000029,0.011113,0.000045
5,280,21,0.130718,0.000349,0.064637,0.000375,0.129659,0.000357,0.02646,0.000352,0.132217,0.000366,0.026377,0.000354
11,399,34,0.155321,0.000838,0.117212,0.001027,0.217715,0.000911,0.059238,0.000985,0.187285,0.000948,0.050438,0.000923
32,90,33,0.111561,0.152085,0.028778,0.119933,0.064207,0.134372,0.010135,0.111327,0.073412,0.158823,0.009254,0.113149
43,162,54,0.173677,0.114464,0.16574,0.127992,0.271669,0.167821,0.077851,0.101717,0.235629,0.167293,0.074940,0.104597
16,435,22,0.162999,0.001498,0.09325,0.001929,0.178307,0.001563,0.036772,0.001751,0.188689,0.001807,0.037530,0.001714
25,310,49,0.170274,0.008975,0.183502,0.013725,0.308705,0.018944,0.106247,0.013868,0.229268,0.014363,0.078635,0.011092
11,152,31,0.155316,0.00696,0.115058,0.009919,0.213947,0.011217,0.056066,0.009563,0.187212,0.010288,0.049937,0.008511
25,171,29,0.167053,0.034944,0.08355,0.03412,0.161122,0.038118,0.032092,0.029758,0.177849,0.049307,0.031619,0.030032
12,412,37,0.157366,0.000939,0.125136,0.001192,0.229772,0.001059,0.065633,0.001113,0.192850,0.001070,0.053607,0.001054
2,148,13,0.091837,0.000194,0.029397,0.000212,0.063523,0.000197,0.010391,0.000199,0.070328,0.000194,0.010523,0.000213
35,189,64,0.173483,0.058631,0.216267,0.088698,0.344375,0.128683,0.135003,0.082727,0.239184,0.094887,0.088698,0.062597
24,388,39,0.169712,0.004899,0.15975,0.006743,0.274133,0.007249,0.079141,0.006254,0.226789,0.007080,0.072113,0.005943
13,105,25,0.159038,0.024275,0.112825,0.030351,0.209211,0.037632,0.049371,0.026459,0.195329,0.039492,0.049585,0.026255
9,405,15,0.149805,0.000529,0.07294,0.000623,0.146284,0.000531,0.027671,0.00059,0.160246,0.000569,0.028262,0.000584
32,5,44,0.027263,0.882864,0.011078,0.865608,0.020618,0.876394,0.004454,0.859273,0.022235,0.881916,0.003915,0.859751
22,83,54,0.166613,0.11326,0.174006,0.149165,0.286107,0.1959,0.100791,0.1283,0.217301,0.164618,0.071915,0.108757
49,249,55,0.175545,0.066299,0.123015,0.065623,0.21672,0.082653,0.051564,0.054403,0.218816,0.097427,0.051665,0.056577
46,168,59,0.173936,0.120494,0.181144,0.140361,0.289747,0.185209,0.088871,0.112323,0.238673,0.176212,0.082010,0.112648
29,372,62,0.171964,0.00831,0.206729,0.013533,0.341514,0.020422,0.134175,0.015048,0.234892,0.013148,0.084017,0.010348
36,405,57,0.174199,0.011306,0.204538,0.01713,0.331977,0.024285,0.117136,0.016912,0.241795,0.018770,0.088840,0.013913
43,134,53,0.171859,0.154545,0.156016,0.164281,0.25685,0.210006,0.071376,0.130535,0.229034,0.213544,0.069644,0.134791
30,297,64,0.172301,0.015245,0.210836,0.025312,0.345874,0.040647,0.138151,0.028199,0.236033,0.025717,0.085104,0.018540
22,312,24,0.147473,0.006379,0.049763,0.007365,0.10475,0.006321,0.018006,0.006735,0.120931,0.007731,0.016949,0.006572
